id,title,company,location,experience,description,deadline,url,scraped_at
1,Junior Accountant,Finance,Addis Ababa,0 years - 1 years,"Diploma or Bachelor's Degree in Accounting, Finance, or with related field of study with relevant work experience
Duties and Responsibilities:
- Assist in recording daily financial transactions
- Prepare and maintain accounting documents and records
- Support accounts payable and receivable processes
- Perform bank reconciliations
- Help prepare financial reports and statements
- Maintain filing systems for financial data",about 12 hours left 2026-05-042026-04-24T14:08:31.457635+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69eb6a5c04d8291f670f7783?save=true,2026-05-03 12:11:15
2,Senior Electrical Engineer,Engineering,Addis Ababa,4 years - 5 years,"Bachelor’s  Degree in Electrical Engineering with related field of study  with relevant work experience.
Duties & Responsibilities:
- Prepare and review electrical design drawings for building projects, including power and extra low voltage (ELV) systems
- Develop detailed electrical layouts, schematics, and technical documentation using AutoCAD
- Perform quantity take-offs and measurements from drawings and site data
- Prepare technical specifications and scope of work for electrical installations
- Conduct cost estimation, prepare bills of quantities (BOQ), and develop price quotations
- Support project teams with technical inputs during planning and execution phases
- Review contractor submissions and ensure compliance with design and specifications",about 12 hours left 2026-05-042026-04-27T07:44:40.965825+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/aYSPJqNgKvfqJXo?save=true,2026-05-03 12:11:15
3,Receptionist,Business,Addis Ababa,2 years - 4 years,"Bachelor’s Degree in any field of study with relevant work experience.
Duties & Responsibilities:
- Maintain active and professional communication with clients and visitors.
- Greet and check in visitors in a friendly and professional manner.
- Answer and direct phone calls appropriately.
- Handle customer complaints efficiently and professionally.
- Manage the front desk area and ensure it is clean and organized.
- Receive, sort, and distribute incoming mail and documents.",about 12 hours left 2026-05-042026-04-27T11:00:28.353613+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/8P48a6z1Bqz8fSrN?save=true,2026-05-03 12:11:15
4,Accounting and Finance Officer,Finance,Addis Ababa,0 years - 2 years,"Bachelor's Degree in Accounting, Finance or with related field of study with relevant work experience.
Duties and Responsibilities
- Maintain and update accurate financial records, ledgers, and supporting documentation.
- Prepare journal entries and reconcile accounts to ensure proper coding of transactions.
-  Oversee and monitor accounts payable (AP) and accounts receivable (AR).
- Support monthly, quarterly, and annual financial reporting.
- Assist with audits, tax filings, and compliance requirements.
- Collaborate with internal teams to improve financial processes and efficiency.",about 12 hours left 2026-05-042026-04-14T12:18:05.751472+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69de042f413d5a3b62e6a346?save=true,2026-05-03 12:11:15
5,Product Quality Assurance and Control Specialist I,Engineering,Addis Ababa,0 years - 1 years,"Diploma  or Bachelor’s  Degree in Chemical Engineering, Industrial Chemistry, or Chemistry or with related field of study with relevant work experience.
Duties & Responsibilities:
- Monitor production activities to ensure compliance with quality standards.
- Control incoming raw materials and auxiliary materials against specifications.
- Prepare and monitor glue viscosity (40–46 seconds), record data in logbooks and checklists.
- Perform quality checks on main tank glue, single feeders, and production lines.
- Inspect job orders, approve production start, and identify waste types to prevent recurrence.",about 12 hours left 2026-05-042026-04-27T11:16:32.218659+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/Al65oAWiahUPPQa?save=true,2026-05-03 12:11:15
6,Real Estate Sales Agent,Business,Addis Ababa,0 years,"Bachelor's Degree in any field of study with relevant work experience
Duties and Responsibilities:
- Actively sell our Real estate packages to clients
- Approach businesses and individuals to introduce and sell our real estate product.
- Continuously seek new opportunities to expand our client base and increase sales.
- Stay informed about market trends and competitors.
- Build and maintain strong, long-term relationships with clients to encourage repeat business and referrals.
- Work closely with marketing and other departments to align sales strategies and campaigns.",1 day left 2026-05-052026-04-29T06:23:53.990151+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/7cHOv7L8uj7CwQw?save=true,2026-05-03 12:11:15
7,Associate Professor,Education,Addis Ababa,15 years,PhD in Social Anthropology or with related field of study with relevant work experience,1 day left 2026-05-052026-04-25T09:16:40.18699+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69ec85d12cea780af5dd17ab?save=true,2026-05-03 12:11:15
8,Associate Professor,Education,Addis Ababa,30 years,PhD in Agricultural Science or with related field of study with relevant work experience,1 day left 2026-05-052026-04-25T07:11:22.570404+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69ec685cc208305e9d893b72?save=true,2026-05-03 12:11:15
9,Associate Professor,Education,Addis Ababa,15 years,PhD in Social Anthropology or with related field of study with relevant work experience,1 day left 2026-05-052026-04-25T08:59:00.250356+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69ec815df83b9c7fb043fd2a?save=true,2026-05-03 12:11:15
10,Civil Engineer,Engineering,Ambo,2 years - 4 years,የመጀመሪያ ዲግሪ ወይም ሁለተኛ ዲግሪ በሲቪል ምህንድስና ወይም በተመሳሳይ የትምህርት መስክ የተመረቀ/ቀች አግባብነት ካለው የስራ ልምድ ጋር,1 day left 2026-05-052026-04-24T13:23:26.380942+00:00,https://www.hahu.jobshttps://app.hahu.jobs/app/jobs/69eb6c849a9cfb553c00ca19?save=true,2026-05-03 12:11:15
